X,Y,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId
-71.093353,42.277199,Blue Hill Market,1366 Blue Hill Ave,,Mattapan,MA,02126,2250,SUFFOLK,-71.093353,42.277199,64139
-71.097816,42.281067,Tjs Family Inc/Family Food Shop,609 Walk Hill St,,Mattapan,MA,02126,3121,SUFFOLK,-71.097816,42.281067,64140
-71.014442,42.060631,CVS Pharmacy 1007,1245 Main St,,Brockton,MA,02301,7107,PLYMOUTH,-71.014442,42.060631,64141
-72.571861,42.157429,Stop And Chill,400 E Main St,,Chicopee,MA,01020,3648,HAMPDEN,-72.571861,42.157429,64175
-71.074173,42.429256,SUMMER STREET FRUIT,72 Summer St,,Malden,MA,02148,3912,MIDDLESEX,-71.074173,42.429256,64434
-71.064644,42.078846,Speedway 2454,296 Pearl St,,Brockton,MA,02301,2826,PLYMOUTH,-71.064644,42.078846,64508
-70.994911,42.407738,Orange Grove Market Inc,158 Shirley Ave,,Revere,MA,02151,3211,SUFFOLK,-70.994911,42.407738,64515
-71.019119,42.074417,Family Dollar Store 10275,548 Main St,,Brockton,MA,02301,6036,PLYMOUTH,-71.019119,42.074417,64516
-70.994682,42.40765,Revere Beach Food Mart,161 Shirley Ave,,Revere,MA,02151,3256,SUFFOLK,-70.994682,42.40765,64518
-71.03022,42.108585,Smart Stop,976 N Main St,,Brockton,MA,02301,1537,PLYMOUTH,-71.03022,42.108585,64526
-71.008812,42.403336,Al Prime Energy Co/Al Prime Energy - Revere 103,655 Revere Beach Pkwy,,Revere,MA,02151,3900,SUFFOLK,-71.008812,42.403336,64534
-71.012566,42.410007,Elia's Food Mart,4 Park Ave,,Revere,MA,02151,3414,SUFFOLK,-71.012566,42.410007,64537
-71.0243,42.086044,Vicente's Supermarket Corp,160 Pleasant St,,Brockton,MA,02301,3842,PLYMOUTH,-71.0243,42.086044,64538
-71.096466,42.331738,International Halal Market,1433 Tremont St,,Roxbury Crossing,MA,02120,3403,SUFFOLK,-71.096466,42.331738,64823
-70.459389,41.6339,Mashpee Mart,44 Falmouth Rd,,Mashpee,MA,02649,2720,BARNSTABLE,-70.459389,41.6339,64897
-71.055321,42.065006,Colbea Enterprises LLC 76,945 Belmont St,,Brockton,MA,02301,5514,PLYMOUTH,-71.055321,42.065006,64937
-71.001312,42.409527,Sayar Food Market,3 Everett St,,Revere,MA,02151,5934,SUFFOLK,-71.001312,42.409527,64938
-71.012749,42.426373,Market Basket 74,275 Squire Rd,,Revere,MA,02151,4322,SUFFOLK,-71.012749,42.426373,64939
-70.993118,42.410778,Big Lots 4658,1399 N Shore Rd,,Revere,MA,02151,2610,SUFFOLK,-70.993118,42.410778,64948
-71.011932,42.410805,Walgreens 10824,430 Broadway,,Revere,MA,02151,3058,SUFFOLK,-71.011932,42.410805,64952
-71.014168,42.059738,Brockton Food Mart,1293 Main St,,Brockton,MA,02301,7109,PLYMOUTH,-71.014168,42.059738,64953
-71.147987,41.740658,Somerset Sunoco 5079,525 County St,,Somerset,MA,02726,4207,BRISTOL,-71.147987,41.740658,65164
-71.136955,41.691189,Marios Lebanese Syrian Bakery,260 Harrison St,,Fall River,MA,02723,1710,BRISTOL,-71.136955,41.691189,65166
-70.990112,42.455048,Lincoln Avenue Market,84 Lincoln Ave,,Saugus,MA,01906,2833,ESSEX,-70.990112,42.455048,65300
-71.091072,42.780342,Hilldale Convenience,66 Hilldale Ave,,Haverhill,MA,01832,3828,ESSEX,-71.091072,42.780342,65320
-71.100845,42.765228,7 Eleven 33286H,503 River St,,Haverhill,MA,01832,5144,ESSEX,-71.100845,42.765228,65325
-71.144569,41.746773,Mahant Country Farm Inc,994 County St,,Somerset,MA,02726,5003,BRISTOL,-71.144569,41.746773,65467
-71.248703,41.902836,Chartleys Country Store,319 Tremont St,,Rehoboth,MA,02769,2000,BRISTOL,-71.248703,41.902836,65528
-71.05574,42.101334,Walmart 2904,700 Oak St,,Brockton,MA,02301,1105,PLYMOUTH,-71.05574,42.101334,65553
-70.640495,41.787144,7-Eleven 37413A,3 Barker Rd,,East Wareham,MA,02538,1299,PLYMOUTH,-70.640495,41.787144,65590
-72.57135,42.21209,Magris Fruit & Produce Co Inc,2009 Memorial Dr,,Chicopee,MA,01020,4322,HAMPDEN,-72.57135,42.21209,65661
